,song_pop,song_name,artist
0,20,Fat White Family – Feet,"['Fat White Family ', ' Feet']"
1,19,Lizzo – Tempo (feat Missy Elliott),"['Lizzo ', ' Tempo (feat Missy Elliott)']"
2,18,Mark Ronson – Late Night Feelings (feat Lykke Li),"['Mark Ronson ', ' Late Night Feelings (feat Lykke Li)']"
3,17,Normani – Motivation,"['Normani ', ' Motivation']"
4,16,AJ Tracey – Ladbroke Grove,"['AJ Tracey ', ' Ladbroke Grove']"
5,15,Lana Del Rey – The Greatest,"['Lana Del Rey ', ' The Greatest']"
6,14,Stormzy – Vossi Bop,"['Stormzy ', ' Vossi Bop']"
7,13,Dave – Black,"['Dave ', ' Black']"
8,12,Big Thief – Not,"['Big Thief ', ' Not']"
9,11,Rosalía and J Balvin – Con Altura,"['Rosalía and J Balvin ', ' Con Altura']"
10,10,Georgia – About Work the Dancefloor,"['Georgia ', ' About Work the Dancefloor']"
11,9,Clairo – Bags,"['Clairo ', ' Bags']"
12,8,Richard Dawson – Jogging,"['Richard Dawson ', ' Jogging']"
13,7,Vampire Weekend – Harmony Hall,"['Vampire Weekend ', ' Harmony Hall']"
14,6,FKA twigs – Cellophane,"['FKA twigs ', ' Cellophane']"
15,5,Lizzo – Juice,"['Lizzo ', ' Juice']"
16,4,Billie Eilish – Bad Guy,"['Billie Eilish ', ' Bad Guy']"
17,3,Charli XCX – Gone (feat Christine and the Queens),"['Charli XCX ', ' Gone (feat Christine and the Queens)']"
18,2,Sharon Van Etten – Seventeen,"['Sharon Van Etten ', ' Seventeen']"
19,1,Lil Nas X – Old Town Road (remix feat Billy Ray Cyrus),"['Lil Nas X ', ' Old Town Road (remix feat Billy Ray Cyrus)']"
